scan_date,scan_time,symbol,price_at_scan,scanner_score,float_score,momentum_score,volume_score,catalyst_score,multiday_score,vigl_bonus,vigl_match,rvol,float_shares,change_pct,volume,catalyst_text,entered,entry_date,entry_price,entry_thesis,exit_date,exit_price,hold_days,return_pct,return_dollars,outcome,notes
2026-02-10,16:46:45,MUFG,19.39,0,0,0,0,0,0,0,none,1.0,0,0,3900508.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CPRI,20.18,0,0,0,0,0,0,0,none,1.0,0,0,3161955.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AM,19.9,0,0,0,0,0,0,0,none,1.0,0,0,5604397.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CPNG,18.25,0,0,0,0,0,0,0,none,1.0,0,0,16767020.0,,No,,,,,,,,,,
2026-02-10,16:46:45,GLXY,21.19,0,0,0,0,0,0,0,none,1.0,0,0,5497590.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CZR,20.75,0,0,0,0,0,0,0,none,1.0,0,0,7280375.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AVDL,21.63,0,0,0,0,0,0,0,none,1.0,0,0,2782821.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SM,21.13,0,0,0,0,0,0,0,none,1.0,0,0,4462282.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PINS,20.33,0,0,0,0,0,0,0,none,1.0,0,0,14184121.0,,No,,,,,,,,,,
2026-02-10,16:46:45,MDU,20.32,0,0,0,0,0,0,0,none,1.0,0,0,2952322.0,,No,,,,,,,,,,
2026-02-10,16:46:45,QID,20.43,0,0,0,0,0,0,0,none,1.0,0,0,21411415.0,,No,,,,,,,,,,
